iliacus,psoas,pectineus,sartorius,rectus femoris,abductor longus,abductor magnus 1,abductor magnus 2,abductor magnus 3,abductor brevis,gracillis,glutus maximus,glutus medius 1,glutus medius 2,glutus medius 3,glutus minimus 1,glutus minimus 2,glutus minimus 3,tensor fascia lata,piriformis,obturator internus,glemellus superior,glemellus inferior,quadratus femoris,obturator externus,semi tendinosus,semi membranosus,hip joint force,fixed support
7563,,,,,,,,,,,,,2984,,,,,,,,,,,,,,3376,8768
7531,,,,,,,,,,,,,2985,,,,,,,,,,,,,,2841,8769
6975,,,,,,,,,,,,,2532,,,,,,,,,,,,,,2829,8770
6936,,,,,,,,,,,,,2531,,,,,,,,,,,,,,3363,8916
6285,,,,,,,,,,,,,2530,,,,,,,,,,,,,,3967,8917
5544,,,,,,,,,,,,,2529,,,,,,,,,,,,,,3979,8918
5499,,,,,,,,,,,,,2528,,,,,,,,,,,,,,3993,8919
4095,,,,,,,,,,,,,2155,,,,,,,,,,,,,,4010,8920
4792,,,,,,,,,,,,,2156,,,,,,,,,,,,,,4031,8921
3487,,,,,,,,,,,,,2157,,,,,,,,,,,,,,4066,8922
4058,,,,,,,,,,,,,2158,,,,,,,,,,,,,,4720,8923
4059,,,,,,,,,,,,,2159,,,,,,,,,,,,,,4695,8924
3449,,,,,,,,,,,,,1366,,,,,,,,,,,,,,4674,8925
3450,,,,,,,,,,,,,1365,,,,,,,,,,,,,,4656,8926
2495,,,,,,,,,,,,,1364,,,,,,,,,,,,,,4640,8927
2493,,,,,,,,,,,,,1363,,,,,,,,,,,,,,3966,8928
2947,,,,,,,,,,,,,1859,,,,,,,,,,,,,,3955,8929
2494,,,,,,,,,,,,,1860,,,,,,,,,,,,,,3352,8930
2122,,,,,,,,,,,,,1861,,,,,,,,,,,,,,2818,8931
2121,,,,,,,,,,,,,1862,,,,,,,,,,,,,,2817,8932
1824,,,,,,,,,,,,,1863,,,,,,,,,,,,,,3351,8933
2946,,,,,,,,,,,,,1367,,,,,,,,,,,,,,3954,8934
8055,,,,,,,,,,,,,,,,,,,,,,,,,,,4624,8935
8054,,,,,,,,,,,,,,,,,,,,,,,,,,,4639,8936
7593,,,,,,,,,,,,,,,,,,,,,,,,,,,4655,8937
7592,,,,,,,,,,,,,,,,,,,,,,,,,,,4673,8938
8032,,,,,,,,,,,,,,,,,,,,,,,,,,,4694,8939
7559,,,,,,,,,,,,,,,,,,,,,,,,,,,4719,8230
7558,,,,,,,,,,,,,,,,,,,,,,,,,,,4761,8543
7527,,,,,,,,,,,,,,,,,,,,,,,,,,,4760,8772
7528,,,,,,,,,,,,,,,,,,,,,,,,,,,4718,8776
7529,,,,,,,,,,,,,,,,,,,,,,,,,,,4693,8943
7560,,,,,,,,,,,,,,,,,,,,,,,,,,,4672,9072
7530,,,,,,,,,,,,,,,,,,,,,,,,,,,4654,9073
7561,,,,,,,,,,,,,,,,,,,,,,,,,,,4638,9074
7562,,,,,,,,,,,,,,,,,,,,,,,,,,,4623,9075
